Unit_Name,Total_Crimes
New Town PS,145
Ranebennur Town PS,145
Harugeri PS,144
Turuvanur (Jogi) PS,143
Dhannura PS,143
Chickpet Traffic PS,143
Chincholi PS,143
Sandur PS,143
Bilichodu PS,141
Molakalmuru PS,141
Doddaballapura Town PS,141
Upparpet Traffic PS,140
Gundlupete  PS,140
Sadalaga PS,140
Savanoor PS,140
Chitaguppa PS,140
Belthangadi PS,140
Banavara PS,139
Uppinangadi PS,139
Nandagad PS,139
Abbinahole PS,139
Marihal PS,138
Vishveshwarapuram PS,138
Shravanabelagola PS,137
Hadadi PS,137
Chickballapura Town PS,137
J.C. Nagar PS,137
Airport Traffic PS,137
Doddabelavangala PS,137
Shiggaon PS,137
Kudachi PS,136
Dharwad Town PS,136
Wilsongarden Traffic PS,135
Ramapura PS,135
Birur PS,134
Imangala PS,134
CEN Crime PS Hubballi Dharwad City,134
Hubballi Sub Urban PS,134
Gandhinagar PS,133
Kampli  PS,133
Nandi Giridhama PS,132
Hirekerur  PS,132
Arasikere Rural PS,132
Commercial Street PS,132
Santhebennur PS,132
Hansabhavi PS,132
Vyalikaval PS,132
Belgaum North Traffic PS,132
Kulgod PS,132
Malamaruthi PS,131
Mudigere PS,131
Bethamangala PS,131
Pension Mohalla PS,130
Jamakhandi Rural PS,130
Navanagara PS,130
Hukkeri PS,130
Kundagol PS,129
Banahatti PS,129
Jamakhandi Town PS,128
Garag PS,128
Robertsonpet  PS,128
Jalahalli Traffic PS,128
Bhalki Rural PS,127
High Grounds PS,127
Keshavapur PS,127
Dibburahalli PS,126
Chikkajala PS,126
Vishwanathapura PS,126
Terakanambi PS,126
Gadag Town PS,126
Lakshmeshwar PS,126
Bantwala Rural PS,125
Hirisave PS,125
Thalak  PS,124
Puttur Traffic PS,124
Bellary Traffic PS,124
Halageri PS,124
Aigali PS,124
Davanagere Women PS,124
Amengad PS,123
Haveri Town PS,122
Guttal PS,122
Nippani Rural PS,122
Ilakal PS,121
Bankapura PS,121
Aurad PS,121
Basavanahalli  PS,121
Nayakanhatti PS,121
Javagal PS,120
Hubballi Town PS,120
Channarayapatna Traffic PS,120
Kempegowda Nagar PS,120
Annigeri PS,119
Nuggehalli PS,119
Basavanagudi Women PS,119
Hallikhed PS,119
Manna Ekhelli PS,118
Basavapatna PS,118
East Zone Women PS,118
Goruru PS,118
Sadashivanagar PS,118
Basava Kalyana Rural PS,118
Gangammana Gudi PS,117
Moka PS,116
Devanahalli PS,116
Dudda PS,116
Kamalanagar PS,116
Jeevan Bhima Nagar (Indiranagar) Traffic  PS,116
Yelandur  PS,116
Madivala Traffic PS,116
Arehalli PS,115
Kuduthini PS,115
Bantwala Traffic PS,115
Rattihalli PS,114
Chamarajanagar Town PS,114
Lokapur PS,114
Hulimavu Traffic PS,114
Narona PS,114
Sadashivanagar Traffic PS,114
Shivajinagar PS,114
N.R. Pura PS,113
Lingadahalli PS,112
Parasurampura PS,111
Holenarasipura Rural PS,111
Thyamagondlu PS,111
Bagewadi PS,111
Chitradurga Traffic PS,110
Yeslur PS,110
Davanagere South Traffic PS,109
High Grounds Traffic PS,109
Kencharlahalli PS,109
Mayakonda PS,108
Halasur Traffic PS,108
Puttur Rural PS,107
Shidlaghatta Town PS,107
Sullia PS,107
Thoranagal PS,107
Thirumalashettahalli PS,106
Sedam PS,106
Ballari Women PS,105
Rampura PS,105
Chitrahalli Gate PS,105
Chittapura PS,105
Puttur Town PS,105
Madbool PS,105
Magadi Road Traffic PS,105
Adugodi Traffic PS,104
Hubballi North Traffic PS,103
S.J. Park PS,103
Betageri  PS,103
Humnabad Traffic PS,101
Seshadripuram PS,101
Hallymysore PS,101
Chickmagalur Traffic PS,100
Sirigeri PS,100
Manthala PS,99
Andersonpet  PS,99
Ashoknagar Traffic PS,99
Devalagangapur PS,99
Azad Nagar PS,98
Dharmasthala PS,98
Alnavar PS,97
Lakkavalli PS,97
Anugondanahalli PS,97
Nesargi PS,97
Bidar Traffic PS,96
Sampangiramanagar PS,96
Belgaum South Traffic PS,96
Kasabapeth PS,96
Janwada PS,96
Nippani Town PS,95
Kamasamudram PS,95
Tekkalkota PS,95
Bengaluru CEN Crime PS,94
Mico Layout Traffic PS,94
Banakal  PS,94
Basavanagara PS,94
Tadas PS,94
Pulakeshinagar Traffic PS,93
Sulibele PS,93
Mahalingapur PS,92
Kaginele PS,92
Ankali PS,92
Balehonnur PS,91
Dharwad Traffic PS,90
Mehakar PS,89
Savalgi PS,88
Camp PS,88
Kadaba PS,88
Nimbarga PS,88
Khataka Chincholi PS,88
Shahapura PS,88
Naregal PS,87
Mahagoan PS,86
Kumarapattanam PS,86
Khadebazar PS,86
Tilakwadi PS,86
HSR Lay Out Traffic PS,86
Basava Kalyana Traffic PS,85
Chitradurga Extension PS,85
Koppa  PS,85
Chennarayapatana PS,85
Bendigeri PS,84
APMC Navanagar,84
BIAL PS,84
Cubbonpark Traffic PS,83
Batlahalli PS,83
Ilakal Rural PS,83
Bidar Rural PS,82
Udyambag PS,82
Gokul Road PS,82
Guledagudda PS,82
Bagdal PS,82
Gandhi Nagar PS,82
Govindapura PS,81
Chikkaballapura Women PS,81
Punjalkatte PS,81
Hassan Women PS,81
Santhapur PS,81
Gonibeedu PS,81
Hulsoor PS,80
Mulagund PS,80
Shivajinagar Traffic PS,79
Kamalapur PS,79
Chelur PS,79
Kushnoor PS,78
Mudbi PS,78
Kuderu PS,78
Patapalya PS,78
Jalahalli PS,77
Ratkal PS,76
Kaladagi PS,76
Halasur Gate Traffic PS,75
Doddawad PS,75
Venoor PS,74
Bidar Town PS,73
Sringeri  PS,73
Bagalkot Town PS,73
Mannalli PS,73
Malkhed PS,71
Belthangadi Traffic PS,70
Basaweshwar Chowk PS,70
HD City Women PS,70
P.D. Halli PS,70
Chamarajanagar Traffic PS,69
Govindaraja Nagar PS,69
Subramanya PS,68
Chitradurga CEN Crime PS,68
Belagavi City Women PS,68
Kalasa PS,68
Yagati PS,68
Hubballi South Traffic PS,68
Bellare PS,66
Betageri Extention PS,66
Ankalgi PS,66
Khadakalat PS,66
Kalagi PS,65
Hatcholli PS,65
Teradal PS,64
Hokrana PS,64
BEML Nagar PS,64
Revoor PS,64
Santemaralli PS,64
Chickballapura Traffic PS,63
Chitradurga Women PS,63
Balur  PS,63
Chickmagalur Women PS,61
Gudageri PS,58
RMC Yard PS,57
Chikkodi Town Traffic PS,57
Chintaki PS,57
Madanahipparga PS,57
Hubballi East Traffic PS,55
Bemalkhed PS,55
Davanagere CEN Crime PS,55
Vidhana Soudha PS,55
Miryan PS,54
Bagalkot Traffic PS,52
Panchanahalli PS,52
Chickaballapura CEN Crime PS,51
Oorgaum PS,51
Jayapura PS,51
Ranebennur Traffic PS,50
Mallanduru PS,50
Chickmagalur CEN Crime PS,50
Gadiganur PS,49
K G Halli Traffic PS,48
Peresandra PS,47
Bidar Women PS,46
Ghantikeri PS,46
Kalaburagi Women PS,45
Mambali PS,44
Belagavi City CEN Crime PS,43
M.M. Hills PS,41
Davangere North Traffic PS,39
Bengaluru Dist Women PS,39
Haveri CEN Crime PS,38
Singatagere PS,38
Shankarpura PS,38
Hassan CEN Crime PS,37
KGF CEN Crime PS,34
Marikuppam  PS,34
Airport PS,33
Hariharapura PS,33
Gadag CEN Crime PS,33
Ballari CEN Crime PS,32
Hosakote Traffic PS,32
Kamaripeth PS,32
Haveri Women PS,31
Thalaghattapura Traffic PS,31
Haveri Traffic PS,30
Champion Reefs  PS,30
Chamarajanagar CEN Crime PS,29
Hosahalli PS,28
Mahadevapura Traffic PS,28
Kurakunta PS,24
Choranuru PS,24
Gadag Traffic PS,24
Budikote PS,24
Kunchavaram PS,23
Belagavi CEN Crime PS,23
Kyasamballi PS,21
Bellanduru Traffic PS,20
Hennur Traffic PS,20
Dharwad Women PS,19
DK Women PS,19
Dharwad CEN Crime PS,19
Chamrajanagar Women ps,19
Kuduremukh PS,17
Bagalkot CEN Crime PS,15
Cyber Crime Police Station CID,14
Bagalkot Women PS,14
Thyagarajanagar PS,13
ISD PS,12
Kalaburagi CEN Crime PS,11
Bidar CEN Crime PS,11
Hulagur PS,10
DK CEN Crime PS,10
Jnanabharathi Traffic PS,8
Gadag Women PS,7
Chickpet PS,7
Coastal Security Police Mangaluru,5
Coastal Security Police Kumta,4
Coastal Security Police Gangolli,3
Coastal Security Police Karwar,2
CCPS Central Range Bengaluru City,2
E and N Crime PS HD city,2
Coastal Security Police Honnavar,2
West Women PS,1
Bowring Hospital PS,1
Chickabanavara Traffic PS,1
Coastal Security Police Belekeri,1
Coastal Security Police Bhatkal,1
Coastal Security Police Malpe,1
Coastal Security Police Hejamady,1
